title,author,tag,rating,rating_count,publisher,publish_date,price,summary,detail_url,cover_url,isbn,pages
面具下的她们,[英] 萨拉·亨德里克斯 / 陈烽,心理学,8.3,136,华夏出版社,2025,59.80元,“我一直觉得自己‘格格不入’，还总是被别人孤立，但始终不明白为什么……后来在网上看到一篇孤独症谱系障碍人士的自述，大哭了一场，感觉自己终于找到‘组织’了……...,https://book.douban.com/subject/37144169/,https://img9.doubanio.com/view/subject/s/public/s35080105.jpg,,
陪伴也是一种疗愈,西莫内塔·M.G.阿达莫、玛格丽特·拉斯廷 / 方红,心理学,8.0,45,广东人民出版社,2025-2,89,"★ 精神分析师、心理学行业从业者经典阅读书目，解读幼儿行为背后的心理动机和行为逻辑。
18个案例聚焦2-5岁幼儿成长关键期
幼儿期的生命经验将伴随人的一生
...",https://book.douban.com/subject/37192251/,https://img3.doubanio.com/view/subject/s/public/s35060987.jpg,,
我们为何渴望安稳，却又想要逃离？,[法] 克莱尔·马琳 / 吴芳,心理学,6.9,92,贵州人民出版社,2025-2,56,"★法国FNAC心理学图书大奖，心理学版《人性的枷锁》。
通过乔治·佩雷克、蒙田、米歇尔·福柯等人的作品，探讨身体与心灵的栖居之地。
★新时代下的“安身与立命...",https://book.douban.com/subject/37207082/,https://img9.doubanio.com/view/subject/s/public/s35076034.jpg,,
移情,[法] 凯瑟琳·穆勒（Catherine Muller） / 姜余、严和来,心理学,8.3,108,广西师范大学出版社,2025-2,49.80元,"⭕ 拉康弟子、俄狄浦斯奖获得者凯瑟琳·穆勒代表作
⭕ 法国弗洛伊德精神分析协会主席帕特里克·纪尧马、《拉康十讲》作者严和来联袂推荐
⭕ 一本书讲透弗洛伊德与...",https://book.douban.com/subject/37191868/,https://img2.doubanio.com/view/subject/s/public/s35079751.jpg,,
情感暴力,[德] 安克·伊丽莎白·巴尔曼 / 李佳川,心理学,7.0,71,晨光出版社,2025-2,49.80元,"只要某个行为让人受伤了，那它就是暴力，
我们要永远铭记这一点。
----------------------------------------------...",https://book.douban.com/subject/37182700/,https://img1.doubanio.com/view/subject/s/public/s35048880.jpg,,
疲于做自己,【法】阿兰·埃伦贝格 / 王甦,心理学,8.1,305,南京大学出版社,2025-2-1,92.00元,"◎社会学经典著作，所有对精神疾病感兴趣的人都应入手的枕边书！
◎让我们更加理解生活的困境，懂得如何处理个人与社会的关系，不再抑郁！
——————
【编辑推荐...",https://book.douban.com/subject/37186404/,https://img9.doubanio.com/view/subject/s/public/s35054844.jpg,,
无意义的意义,[日]泉谷闲示 / 佟凡,心理学,7.7,260,北京科学技术出版社,2025-2-1,59,"当今社会，烦恼“感觉不到生存的意义”的人越来越多。能在工作和生活中感到幸福的人更少。那么，我们该怎么活呢？
拥有20年临床经验精神心理专科医生，从心理、社会...",https://book.douban.com/subject/37207373/,https://img1.doubanio.com/view/subject/s/public/s35065799.jpg,,
人生拒绝清单,[日]pha / 程俐,心理学,6.9,1214,湖南文艺出版社,2025-2,48.00,"《人生拒绝清单》是一本人生励志图书。整理出什么不是“必须做”的，剩下的就是自己的人生。
当今世上充斥着无数“必做之事”。不管是看电视、上网还是逛书店，到处都...",https://book.douban.com/subject/37005392/,https://img1.doubanio.com/view/subject/s/public/s35074299.jpg,,
我们为什么缺乏安全感,[西] 玛丽亚·埃斯克拉佩兹 / 程肖琳,心理学,7.4,146,贵州人民出版社,2025-1,58.00,"你是否在一段关系中，一边依恋，一边讨厌？
你是否需要让别人去填补你的缺失？
你在一段关系中是被带领的一方吗？
为什么我们会依恋？
为什么我们需要别人的认可？...",https://book.douban.com/subject/37161726/,https://img1.doubanio.com/view/subject/s/public/s35037530.jpg,,
自卑与超越,阿尔弗雷德·阿德勒 / 马晓娜,心理学,7.7,369,人民邮电出版社,2025-1,98,自卑内耗的现代人，都该读阿德勒；用一生超越自卑的阿德勒，教你逆天改命，活出强大的自我；风靡全球、百年畅销不衰的成长自助经典，领先时代100年的心理大师阿德勒...,https://book.douban.com/subject/37180617/,https://img2.doubanio.com/view/subject/s/public/s35047741.jpg,,
